Years,CO2,CH4,N2O,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,C4F10,C5F12,C6F14,C7F16,C8F18,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH2Cl2,CHCl3,CH3Br,Halon-1211,Halon-1301,Halon-2402,CFC-12-eq,HFC-134a-eq,CFC-11-eq
1880,289.469999320198,868.6961063073591,277.2650473654361,0,0,0.0002945710670247768,0,0,0,5.331823760080755e-06,0,0,0,0,0,0,2.8414528952773796e-05,34.05069999683678,0.0003491686693861985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.154311024249978,32.11081604800311
1881,289.7369992910976,870.9841266509902,277.3740485862657,0,0,0.00029711047277499044,0,0,0,5.377787758012486e-06,0,0,0,0,0,0,2.8661611813232697e-05,34.050699996836606,0.00036318877669907086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15433506005409,32.11083083926718
1882,290.01899925659364,873.2501343602795,277.48604781092735,0,0,0.00029964987852520406,0,0,0,5.4237517559442165e-06,0,0,0,0,0,0,2.8908694673691602e-05,34.050799996836446,0.0003774296340119416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.154415690780073,32.11088045817548
1883,290.26299921984815,875.6031505486831,277.5910484695901,0,0,0.0003021892842754176,0,0,0,5.469715753875947e-06,0,0,0,0,0,0,2.9155777534150506e-05,34.05089999683626,0.0003918974913248207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.154496676193542,32.110930295353
1884,290.51199920470657,878.148195132456,277.69504813483826,0,0,0.0003047286900256312,0,0,0,5.5156797518076784e-06,0,0,0,0,0,0,2.940286039460941e-05,34.05099999683608,0.00040659874863771783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.154578026294523,32.1109803569536
1885,290.7969991943966,881.0251276946365,277.79504827574357,0,0,0.00030726809577584486,0,0,0,5.5616437497394085e-06,0,0,0,0,0,0,2.9649943255068315e-05,34.05099999683592,0.0004215400059505389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15460350139551,32.11099603393882
1886,291.0999991772857,883.8392110542212,277.8850488939525,0,0,0.0003098075015260584,0,0,0,5.6076077476711395e-06,0,0,0,0,0,0,2.9897026115527213e-05,34.051099996835724,0.00043672676326344915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.154685610090226,32.11104656236635
1887,291.41399913878035,886.9331311986106,277.99504749632223,0,0,0.000312346907276272,0,0,0,5.65357174560287e-06,0,0,0,0,0,0,3.0144108975986117e-05,34.051199996835564,0.0004521660205763442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15476811331621,32.11109733358233
1888,291.7629990762264,889.926211509411,278.08004948493294,0,0,0.0003148863130264856,0,0,0,5.6995357435346e-06,0,0,0,0,0,0,3.039119183644501e-05,34.05129999683541,0.00046786327788921376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.154851019667202,32.111148352875254
1889,292.11299905472004,893.1561628723198,278.19104716576703,0,0,0.0003174257187766992,0,0,0,5.745499741466331e-06,0,0,0,0,0,0,3.0638274696903916e-05,34.05139999683521,0.0004838260352020022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.154934340861917,32.111199627456614
